time_s,altitude_measured_m,altitude_exact_m,velocity_exact_m_s
0.0,100.0248,100.0,0.0
0.1034,99.9406,99.9475,-1.0147
0.2069,99.8225,99.7901,-2.0288
0.3103,99.6039,99.5278,-3.0417
0.4138,99.1491,99.1608,-4.0528
0.5172,98.6777,98.6894,-5.0614
0.6207,98.1927,98.1137,-6.067
0.7241,97.4726,97.4343,-7.0689
0.8276,96.6279,96.6513,-8.0667
0.931,95.7926,95.7655,-9.0596
1.0345,94.7539,94.7771,-10.0473
1.1379,93.6636,93.6869,-11.029
1.2414,92.5076,92.4955,-12.0043
1.3448,91.1078,91.2035,-12.9726
1.4483,89.7255,89.8117,-13.9336
1.5517,88.2929,88.321,-14.8865
1.6552,86.6814,86.7321,-15.8311
1.7586,85.0616,85.0459,-16.7667
1.8621,83.218,83.2634,-17.6931
1.9655,81.315,81.3856,-18.6098
2.069,79.4867,79.4134,-19.5164
2.1724,77.3368,77.3481,-20.4125
2.2759,75.1939,75.1905,-21.2978
2.3793,72.8708,72.942,-22.1719
2.4828,70.5764,70.6037,-23.0345
2.5862,68.1822,68.1767,-23.8854
2.6897,65.6047,65.6623,-24.7243
2.7931,63.0805,63.0617,-25.5509
2.8966,60.3463,60.3763,-26.365
3.0,57.5927,57.6073,-27.1665
